,Var1,FactEff,t_PSE,IER_Alpha,Significant
0,A,-2.782967187823906,-0.82,2.21,Not Significant
1,B,-2.8356972792524924,-0.83,2.21,Not Significant
2,C,-2.2714257832412215,-0.67,2.21,Not Significant
3,D,0.5622414415800535,0.16,2.21,Not Significant
4,E,2.27878023722681,0.67,2.21,Not Significant
5,F,2.147691093958617,0.63,2.21,Not Significant
6,AC,0.2627573823316871,0.08,2.21,Not Significant
7,AC2,2.318164537635449,0.68,2.21,Not Significant
8,AE,-2.821176894191847,-0.83,2.21,Not Significant
9,AE2,-2.2513827628713736,-0.66,2.21,Not Significant
